BFN,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,NEIGHBORHOOD,ZONE_DISTRICT,X_COORD,Y_COORD
2014-BFN-1073038,SOMEBODY PEOPLE,1165 S BROADWAY  104 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-11-04 12:22:22,2021-11-04 00:00:00,464861.0,1165 S Broadway Unit 104,None,Denver,CO,80210,7,3,01403,Overland,C-MX-12,3144169.0,1678564.0
2018-BFN-0009257,MAINE SHACK,1535 CENTRAL ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-06-29 13:22:00,2022-03-19 00:00:00,189257.0,1535 Central St,None,Denver,CO,80211,1,1,00402,Highland,C-MX-5,3137852.0,1701423.0
2013-BFN-1069996,MICI HANDCRAFTED ITALIAN,727 N COLORADO BLVD STE A ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-04-12 12:56:01,2022-02-10 00:00:00,363782.0,727 N Colorado Blvd Ste A,None,Denver,CO,80206,10,2,03300,Congress Park,U-MX-3,3157205.0,1690549.0
2002-BFN-74227,WALGREENS #18391,2870 S COLORADO BLVD,LIQUOR - DRUG STORE,LICENSE ISSUED - ACTIVE,2021-07-08 12:19:12,2022-05-08 00:00:00,181316.0,2870 S Colorado Blvd,None,Denver,CO,80222,4,3,04003,University Hills,S-MX-3,3157646.0,1667382.0
2001-BFN-97192,TAZU SUSHI AND ASIAN CUISINE,300 N FILLMORE STUNIT G ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-07-08 11:26:03,2022-05-12 00:00:00,84798.0,300 N Fillmore St,None,Denver,CO,80206,10,3,03800,Cherry Creek,C-CCN-4,3153794.0,1688015.0
2002-BFN-74030,ATHMAR LIQUORS,1777 W MISSISSIPPI AVE,LIQUOR - STORE,DELINQUENT,2021-06-12 03:00:24,2022-07-25 00:00:00,222070.0,1777 W Mississippi Ave,None,Denver,CO,80219,7,4,01302,Athmar Park,E-MX-3A,3138208.0,1679155.0
2010-BFN-1050107,HIGHLANDS CORK & COFFEE,3701 W 32ND AVE,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-03-22 01:53:27,2022-02-08 00:00:00,48931.0,3701 W 32nd Ave,None,Denver,CO,80211-3121,1,1,00303,West Highland,U-MX-2,3130445.0,1702903.0
2002-BFN-55546,K-M CONCESSIONS,1515 E 47TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-07-26 17:49:41,2022-05-05 00:00:00,162595.0,1515 E 47th Ave,None,Denver,CO,80216,9,2,03500,Elyria Swansea,I-B,3149079.0,1710201.0
2014-BFN-1072813,AVANTI FOOD AND BEVERAGE,3200 PECOS ST,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2021-02-12 14:11:15,2022-03-04 00:00:00,44099.0,3200 N Pecos St,None,Denver,CO,80211,1,1,01102,Highland,U-MX-3,3138786.0,1702869.0
2001-BFN-2227,KING SOOPERS #1,1331 SPEER BLVD,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2020-10-06 08:51:14.000001,2021-10-12 00:00:00,221881.0,1331 N Speer Blvd,None,Denver,CO,80204,3,1,01800,Lincoln Park,C-MX-12,3141192.0,1693918.0
2001-BFN-76782,CANDLELIGHT TAVERN,383 S PEARL ST,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2020-12-31 11:23:01,2021-11-12 00:00:00,246483.0,383 S Pearl St,None,Denver,CO,80209,7,3,02901,Washington Park West,U-MS-2,3146135.0,1683770.0
2010-BFN-1047352,FRESHCRAFT,1530 BLAKE STUNIT A ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-12-29 12:29:57,2021-11-18 00:00:00,265027.0,1530 Blake St Unit A,None,Denver,CO,80202,9,6,01701,Union Station,D-LD,3140719.0,1698427.0
2021-BFN-0001893,THE VINEYARD INC,261 N FILLMORE ST,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2021-04-27 00:00:00,2022-04-27 00:00:00,84892.0,261 N Fillmore St,None,Denver,CO,80206,10,3,03800,Cherry Creek,C-CCN-5,3153664.0,1687801.0
2007-BFN-1026029,CIRCLE K STORE #2709854,1600 S COLORADO BLVD,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-08-05 14:18:25,2022-07-12 00:00:00,137926.0,1600 S Colorado Blvd,None,Denver,CO,80222,6,3,05104,Virginia Village,S-MX-12,3157535.0,1675659.0
2019-BFN-0005153,GG CONVENIENCE STORE,7520 E COLFAX AVE,LIQUOR - FERMENTED MALT BEVERAGE,DELINQUENT,2021-08-10 03:00:31,2021-08-09 00:00:00,178409.0,7520 E Colfax Ave,None,Denver,CO,80220,5,2,04404,East Colfax,E-MS-3,3168648.0,1694935.0
2012-BFN-1063822,WHOLE FOODS MARKET,1111 S WASHINGTON ST,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-06-30 12:54:03,2022-03-31 00:00:00,270200.0,1111 S Washington St,None,Denver,CO,80210,7,3,02902,Washington Park West,U-MS-2,3146399.0,1678747.0
2020-BFN-0001503,SPROUTS FARMERS MARKET,197 E MISSISSIPPI AVE,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-06-03 13:48:17,2022-05-17 00:00:00,485220.0,197 E Mississippi Ave,None,Denver,CO,80209,7,3,02901,Washington Park West,T-MU-30,3144837.0,1679123.0
2002-BFN-55709,D U CONOCO FOOD STORE,2001 S UNIVERSITY BLVD,LIQUOR - FERMENTED MALT BEVERAGE,DELINQUENT,2021-06-30 08:07:02,2021-06-29 00:00:00,111605.0,2001 S University Blvd,None,Denver,CO,80210,6,3,03003,University,C-MS-8,3152055.0,1673014.0
2002-BFN-80185,LA COCINITA MEXICAN RESTAURANT,4935 W 29TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-11-02 10:43:57,2021-09-26 00:00:00,None,None,None,None,None,80212,1,1,00302,West Highland,U-MX-3,3126448.0,1701571.0
2000-BFN-87734,EVANS DISCOUNT LIQUORS,5350 W EVANS AVEUNIT A&B ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2020-12-18 15:10:10,2021-12-13 00:00:00,270085.0,5350 W Evans Ave Unit A,None,Denver,CO,80227-3776,2,4,04700,Harvey Park,B-3,3125206.0,1672434.0
2017-BFN-0002538,LA CHIVA,1417 S BROADWAY ,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-07-03 03:00:33,2021-07-02 00:00:00,312161.0,1417 S Broadway,None,Denver,CO,80210,7,3,01403,Overland,U-MS-3,3144166.0,1676908.0
2009-BFN-1042023,AMENDMENT TWENTY ONE,2548 15TH ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-02-01 09:31:55,2021-12-20 00:00:00,352921.0,2548 15th St,None,Denver,CO,80211,1,1,00402,Highland,U-MS-3,3137329.0,1701364.0
2018-BFN-0009219,NATURAL GROCERS,368 S BROADWAY ,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-04-06 12:13:18,2022-04-24 00:00:00,89805.0,368 S Broadway,None,Denver,CO,None,7,3,02901,Washington Park West,U-MS-5,3144228.0,1683816.0
2020-BFN-0006245,SPANGALANG BREWERY,2736 WELTON STSTE 102 ,LIQUOR - TAVERN AND CABARET,PENDING,2020-12-03 00:00:00,2020-11-24 14:50:38,32666791.0,2736 Welton St Ste 102,None,Denver,CO,None,9,2,02403,Five Points,C-MX-5,3147042.0,1700376.0
2005-BFN-1018465,KENJI SUSHI,1422 E 18TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-08-23 00:00:00,2021-10-29 00:00:00,None,None,None,None,None,80218,9,6,03102,City Park West,C-MX-5,3149262.0,1696558.0
2019-BFN-0010544,LAZO EMPANADAS,303 16TH STUNIT 130 ,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2021-02-12 11:21:36,2022-01-20 00:00:00,32636181.0,303 16th St Unit 130,None,Denver,CO,80202,9,6,01702,CBD,D-C,3143754.0,1695904.0
2013-BFN-1067035,RENAISSANCE DENVER DOWNTOWN - CITY CENTER,918 17TH ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-01-20 11:39:43.000001,2022-01-06 00:00:00,55166.0,918 17th St,None,Denver,CO,80202,9,6,01702,CBD,D-TD,3142484.0,1697519.0
2016-BFN-0002647,CAJUN HAUS,1225 S FEDERAL BLVD,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-07-28 03:00:30,2021-07-27 00:00:00,101231.0,1225 S Federal Blvd,None,Denver,CO,80219,3,4,04602,Mar Lee,E-CC-3X,3133564.0,1678182.0
2018-BFN-0006514,BROTHER'S BBQ/ SNARFS/BRECKENRIDGE BREWERY,8700 PENA BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-12-31 10:56:47,2021-10-28 00:00:00,221159.0,8700 Pena Blvd,None,Denver,CO,80249,11,7,08313,DIA,DIA,3231994.0,1736921.0
2016-BFN-0003325,OLIVE & FINCH,3390 E 1ST ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-28 14:35:08,2022-01-18 00:00:00,501922.0,3390 E 1st Ave,None,Denver,CO,None,10,3,03800,Cherry Creek,C-MX-8,3155392.0,1686741.0
2013-BFN-1068636,JAYA ASIAN GRILL,1699 S COLORADO BLVDUNIT B ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-12 13:00:06,2022-02-17 00:00:00,180188.0,1699 S Colorado Blvd # B,None,Denver,CO,80222,6,3,03902,Cory - Merrill,PUD,3157284.0,1675240.0
2003-BFN-1005806,BANZAI SUSHI,6655 LEETSDALE DR,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-02 15:08:08.000001,2022-02-01 00:00:00,136298.0,6655 Leetsdale Dr,None,Denver,CO,80224,5,3,05002,Washington Virginia Vale,B-4,3165734.0,1681079.0
2014-BFN-1074703,SUSHI HAI,3600 W 32ND AVEUNIT D ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-01-20 10:32:31,2022-01-14 00:00:00,361900.0,3600 W 32nd Ave Ste D,None,Denver,CO,80211,1,1,00303,West Highland,U-MS-3,3130745.0,1702755.0
2004-BFN-1010541,THE INN AT CHERRY CREEK/WEBER BAR & GRILL,233 CLAYTON ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-02-25 10:33:39.000001,2021-12-28 00:00:00,None,None,None,None,None,80206-4803,10,3,03800,Cherry Creek,C-CCN-7,3152983.0,1687670.0
2020-BFN-0006613,NOZOMI SUSHI,4100 N TEJON ST,LIQUOR - HOTEL AND RESTAURANT,PENDING,2020-12-08 00:00:00,2020-12-08 10:27:19,32957.0,4100 N Tejon St,None,Denver,CO,80211,1,1,01101,Sunnyside,U-MS-2,3137425.0,1706821.0
2001-BFN-58513,AVENUE GRILL,630 E 17TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-05-17 10:25:12,2021-11-28 00:00:00,236324.0,630 E 17th Ave,None,Denver,CO,80203,10,6,02602,North Capitol Hill,C-MS-5,3146506.0,1695965.0
2017-BFN-0007699,ZEPPELIN STATION & MARKET HALL,3501 WAZEE STSTE 100 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-12-23 10:40:33.000001,2021-12-10 00:00:00,32564600.0,3501 Wazee St Ste 100,None,Denver,CO,None,9,2,01600,Five Points,I-MX-8,3147035.0,1705647.0
2006-BFN-1021361,MAX GILL & GRILL,1052 S GAYLORD ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-22 11:54:51,2022-04-02 00:00:00,89552.0,1052 S Gaylord St,None,Denver,CO,80209,6,3,03402,Washington Park,U-MS-2,3151494.0,1679363.0
2013-BFN-1067510,MY GOODS MARKET #6517,4785 FEDERAL BLVD,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2020-10-06 08:43:44,2021-09-22 00:00:00,30212.0,4785 N Federal Blvd,None,Denver,CO,80211,1,1,00102,Berkeley,E-CC-3X,3133322.0,1710640.0
2017-BFN-0003284,WALTERS 303 PIZZERIA & PUBLIK HOUSE,1906 N PEARL ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-07-30 17:18:42,2021-09-04 00:00:00,158807.0,1906 N Pearl St,None,Denver,CO,80203,10,6,02602,North Capitol Hill,R-4-X,3146354.0,1697342.0
2017-BFN-0002239,MINT INDIAN RESTAURANT AND LOUNGE,1531 STOUT STSUITE 130 ,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-08-08 03:00:20.000001,2021-08-07 00:00:00,358945.0,1531 Stout St Ste 130,None,Denver,CO,80202,9,6,01702,CBD,D-C,3142300.0,1696846.0
2005-BFN-1013170,"DOUBLETREE BY HILTON DENVER CHERRY CREEK,",455 S COLORADO BLVD,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-04-12 13:19:12,2022-02-14 00:00:00,85510.0,455 S Colorado Blvd,None,Denver,CO,80222,10,3,03901,Belcaro,S-MX-12,3157152.0,1683295.0
2003-BFN-1006859,OGDEN STREET SOUTH,103 S OGDEN ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-04-20 10:58:25,2022-03-03 00:00:00,221169.0,103 S Ogden St,None,Denver,CO,80209,7,3,02803,Speer,G-MS-3,3147447.0,1685577.0
2016-BFN-0005046,ARAUJOS RESTAURANT,2900 W 26TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-11-06 10:52:43,2021-11-20 00:00:00,None,None,None,None,None,80211,1,1,00600,Jefferson Park,G-MS-3,3133881.0,1700104.0
2004-BFN-1007194,MONTBELLO LIQUORS,4632 PEORIA ST,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-02-22 16:39:33,2022-03-08 00:00:00,160895.0,4690 N Peoria St,None,Denver,CO,80239,8,5,08312,Montbello,B-8,3183683.0,1710338.0
2021-BFN-0006879,CENTER FOR VISUAL ART,965 N SANTA FE DR,LIQUOR - ART GALLERY PERMIT,PENDING,2021-08-27 00:00:00,2021-08-25 12:15:09,224907.0,965 N Santa Fe Dr,None,Denver,CO,80204,3,1,01800,Lincoln Park,C-MS-5,3140972.0,1691796.0
2007-BFN-1025807,THE OLIVE GARDEN ITALIAN RESTAURANT #1727,8314 E 49TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-12-30 07:43:20.000001,2022-01-13 00:00:00,261201.0,8314 E Northfield Blvd,None,Denver,CO,80238-3048,8,5,04105,Central Park,C-MU-20,3170890.0,1709703.0
2013-BFN-1069072,STAYBRIDGE SUITES DENVER STAPLETON,8101 E NORTHFIELD BLVD,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2020-12-18 15:21:07,2022-01-29 00:00:00,394038.0,8101 E Northfield Blvd,None,Denver,CO,80238,8,5,04105,Central Park,M-MX-5,3170283.0,1711719.0
2002-BFN-99996,#VYBE,1027 BROADWAY ,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2021-06-28 12:32:15,2022-06-25 00:00:00,263371.0,1027 N Broadway,None,Denver,CO,80203,10,6,02000,Civic Center,D-GT,3144045.0,1692153.0
2009-BFN-1044672,USA LIQUORS,900 FEDERAL BLVD,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-06-03 14:01:38,2022-06-16 00:00:00,70508.0,900 N Federal Blvd,None,Denver,CO,80204,3,1,00800,Sun Valley,E-MX-3,3133664.0,1691667.0
2012-BFN-1058686,FIELD HOUSE,1600 N FEDERAL BLVD,LIQUOR - TAVERN AND CABARET,DELINQUENT,2021-08-28 03:00:24,2021-08-27 00:00:00,511040.0,1600 N Federal Blvd,None,Denver,CO,80204,3,1,00800,Sun Valley,C-MX-5,3133639.0,1695845.0
2018-BFN-0005810,WALTERS303 PIZZERIA & PUBLIK HOUSE LOWRY,200 N QUEBEC STUNIT 200-109 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-09-28 11:04:41,2021-10-17 00:00:00,32577822.0,200 N Quebec St Bldg 200 Unit 109,None,Denver,CO,80230,5,3,04405,Lowry Field,B-3,3168087.0,1687701.0
2021-BFN-0006728,THE WAY BACK LLC,2715 LARIMER ST,LIQUOR - TAVERN AND CABARET,PENDING,2021-08-24 00:00:00,2021-08-20 13:02:58,222440.0,2715 Larimer St,None,Denver,CO,80205,9,2,01600,Five Points,I-MX-3,3145088.0,1702064.0
2001-BFN-3844,SUNSHINE LIQUORS,4300 JOSEPHINE ST,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-02-22 17:38:47,2022-02-13 00:00:00,246412.0,4300 N Josephine St,None,Denver,CO,80216,9,2,03500,Elyria Swansea,E-TU-B,3152321.0,1708189.0
2013-BFN-1069374,MILE HIGH ITALIAN DELI,3210 N WYANDOT ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-08-26 10:48:42,2022-04-24 00:00:00,355662.0,3210 N Wyandot St,None,Denver,CO,80211,1,1,00402,Highland,U-MX-3,3136566.0,1702935.0
2021-BFN-0003462,THE WAREHOUSE PROJECT,2020 W BARBERRY PL,LIQUOR - TAVERN AND CABARET,PENDING,2021-05-21 00:00:00,2021-05-21 15:27:35.000001,69053.0,2020 W Barberry Pl,None,Denver,CO,80204,3,1,01900,Lincoln Park,I-B,3137346.0,1691129.0
2013-BFN-1067411,OLIVE & FINCH,1552 E 17TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-11-05 11:58:56,2021-11-26 00:00:00,450423.0,1552 E 17th Ave,None,Denver,CO,80218,9,6,03102,City Park West,G-MS-3,3149343.0,1695977.0
2017-BFN-0003966,THAI CURRY CUISINE,990 W 6TH AVE 1 & 2 ,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2021-08-05 11:43:51,2022-08-15 00:00:00,351553.0,990 W 6th Ave # 1,None,Denver,CO,80204,7,3,02100,Baker,B-4,3140766.0,1689518.0
2019-BFN-0000483,BRASSERIE BRIXTON,3701 N WILLIAMS ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-08-25 13:55:53.000001,2022-05-21 00:00:00,246423.0,3701 N Williams St,None,Denver,CO,80205,9,2,03601,Cole,U-MX-2X,3150084.0,1705157.0
2001-BFN-86154,DOUBLETREE BY HILTON DENVER-CENTRAL PARK,4040 N QUEBEC ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-09-28 08:31:15,2021-08-31 00:00:00,11281.0,4040 N Quebec St,None,Denver,CO,80216,8,5,04105,Central Park,I-MX-5,3168151.0,1707259.0
2015-BFN-0007817,CHUEY FU'S,1131 N SANTA FE DR,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-16 08:10:52,2022-02-02 00:00:00,68806.0,1131 N Santa Fe Dr,None,Denver,CO,80204,3,1,01800,Lincoln Park,C-MS-8,3140890.0,1692735.0
2011-BFN-1054012,ALOY MODERN THAI,2134 LARIMER ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-20 10:53:57,2022-02-22 00:00:00,348320.0,2134 Larimer St,None,Denver,CO,80205,9,6,01600,Five Points,PUD,3143209.0,1700019.0
2019-BFN-0002073,CVS PHARMACY,750 16TH ST,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2020-11-02 12:02:02,2021-10-29 00:00:00,55206.0,750 16th St,None,Denver,CO,80202,9,6,01702,CBD,D-C,3142579.0,1696866.0
2012-BFN-1058349,CIRCLE K #2703290,411 W FLORIDA AVE,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-07-29 09:18:14,2022-05-20 00:00:00,158037.0,411 W Florida Ave,None,Denver,CO,80223,7,3,01403,Overland,E-CC-3,3142673.0,1676574.0
2002-BFN-34926,Z MERCURY CAFE,2195 CALIFORNIA ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,DELINQUENT,2021-06-11 03:00:39,2021-06-10 00:00:00,54963.0,2195 California St,None,Denver,CO,80205,9,6,02403,Five Points,D-AS-12+,3144711.0,1698786.0
2014-BFN-1074555,7-ELEVEN STORE 34330K,3810 FEDERAL ,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-01-14 15:19:20,2021-09-04 00:00:00,31856.0,3810 N Federal Blvd,None,Denver,CO,80211,1,1,00401,Sunnyside,U-MX-3,3133554.0,1705551.0
2010-BFN-1050373,PHO REAL SAIGON LLC,10009 E HAMPDEN AVE,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2020-09-28 14:04:01,2021-10-31 00:00:00,181900.0,10009 E Hampden Ave,None,Denver,CO,80231,4,3,06814,Hampden,S-MX-3A,3177051.0,1663598.0
2016-BFN-0003996,TOWER LIQUORS,5910 N TOWER RDUNIT 100 ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-07-22 15:04:52,2021-09-28 00:00:00,32614760.0,5910 N Tower Rd Unit 100,None,Denver,CO,80249,11,5,08313,DIA,C-MU-20,3204737.0,1718623.0
2014-BFN-1073059,POST OAK BBQ,4000 TENNYSON STSUITE 101 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-01 11:17:49,2022-02-24 00:00:00,29044.0,4000 N Tennyson St,None,Denver,CO,80212,1,1,00301,Berkeley,U-MS-3,3128265.0,1706323.0
2006-BFN-1019759,EIGHTH AVE WINE & SPIRITS,4420 E 8TH AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-08-25 10:43:01.000001,2022-07-30 00:00:00,235323.0,4420 E 8th Ave,None,Denver,CO,80220-3801,5,2,04301,Hale,E-MS-2,3158755.0,1690952.0
2005-BFN-1018386,OSKAR BLUES BLACK BUZZARD,1624 MARKET ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,DELINQUENT,2021-08-29 03:00:28.000001,2021-08-28 00:00:00,None,None,None,None,None,80202,9,6,01701,Union Station,D-LD,3141354.0,1698569.0
2014-BFN-1074732,DAZZLE AT BAURS,1512 CURTIS ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,DELINQUENT,2021-08-10 03:00:31,2021-08-09 00:00:00,55218.0,1512 Curtis St,None,Denver,CO,80202,9,6,01702,CBD,D-TD,3141837.0,1697143.0
2012-BFN-1063842,ILLEGAL BURGER CAPITOL HILL,609 N GRANT ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-06-29 08:33:42,2022-06-06 00:00:00,190798.0,609 N Grant St,None,Denver,CO,80203,10,3,02801,Speer,B-8-G,3145129.0,1689766.0
2014-BFN-1074706,DEVILS FOOD,1020 S GAYLORD ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-11-06 08:47:39.000001,2021-11-06 00:00:00,169651.0,1020 S Gaylord St,None,Denver,CO,80209,6,3,03402,Washington Park,U-MS-2,3151492.0,1679556.0
2016-BFN-0004595,GOPUFF,635 N BRYANT ,LIQUOR - STORE,DELINQUENT,2021-08-12 03:00:42,2021-08-11 00:00:00,395278.0,635 N Bryant St,None,Denver,CO,80204,3,1,00800,Sun Valley,I-A,3135290.0,1689752.0
2002-BFN-74029,WINES OFF WYNKOOP,1610 16TH ST,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-07-08 12:29:39,2022-06-04 00:00:00,None,None,None,None,None,80202,9,6,01701,Union Station,D-LD,3140248.0,1699000.0
2014-BFN-1074736,RECESS,2715 17TH STSUITE 103 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-12-01 11:15:24,2021-11-18 00:00:00,44899.0,2715 17th St,None,Denver,CO,80211,1,1,01102,Highland,C-MX-3,3137625.0,1702633.0
2002-BFN-95049,TOKYO JOE'S,1350 GRANT ST,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-08-16 08:07:08.000001,2021-08-15 00:00:00,None,None,None,None,None,80203,10,6,02701,Capitol Hill,C-MX-8,3145334.0,1694089.0
2021-BFN-0002820,FOUR MILE HISTORIC PARK,715 S FOREST ST,LIQUOR - ARTS,PENDING,2021-05-04 00:00:00,2021-05-04 09:29:27,221539.0,715 S Forest St,None,Denver,CO,80246,5,3,04900,Washington Virginia Vale,R-1,3161029.0,1681433.0
2003-BFN-1005221,TAKI SUSHI,3434 W 32ND AVEUNIT C ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-10-29 13:00:48,2021-12-10 00:00:00,264047.0,3434 W 32nd Ave Unit C,None,Denver,CO,80211,1,1,00303,West Highland,U-MS-3,3131252.0,1702735.0
2018-BFN-0004203,7-ELEVEN STORE 38361A,18449 E 65TH AVE,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2020-10-22 09:57:19,2021-09-20 00:00:00,32576880.0,18449 E 65th Ave,None,Denver,CO,None,11,5,08313,DIA,C-MU-20,3204259.0,1722556.0
2008-BFN-1037308,TOCABE AN AMERICAN INDIAN EATERY,3536 W 44TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-07-08 11:59:24,2022-03-23 00:00:00,30700.0,3536 W 44th Ave,None,Denver,CO,80211,1,1,00301,Berkeley,U-MX-2,3130910.0,1708026.0
2002-BFN-4877,DENVER ELKS LODGE #17,2475 W 26TH AVE,LIQUOR - CLUB,LICENSE ISSUED - ACTIVE,2021-04-12 13:34:59,2021-12-31 00:00:00,48101.0,2475 W 26th Ave,None,Denver,CO,80211,1,1,00600,Jefferson Park,C-MX-12,3135728.0,1700307.0
2007-BFN-1027328,BUBBA GUMP SHRIMP CO RESTAURANT & MARKET,1437 CALIFORNIA ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-10-07 08:40:09,2021-09-09 00:00:00,55265.0,1437 California St,None,Denver,CO,80202,9,6,01702,CBD,D-C,3142240.0,1696288.0
2015-BFN-0004813,SLOAN'S LAKE TAP @ BURGER,1565 N RALEIGH ST,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-08-18 03:00:37,2021-08-17 00:00:00,472540.0,1565 N Raleigh St,None,Denver,CO,80204,1,1,00701,West Colfax,C-MX-5,3128832.0,1695486.0
2008-BFN-1036898,VIETS RESTAURANT,333 S FEDERAL BLVDSUITE 125 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-12-30 14:02:00,2022-01-06 00:00:00,226283.0,333 S Federal Blvd,None,Denver,CO,80219,3,4,04502,Westwood,PUD,3133432.0,1683874.0
